gene	SRR5575407	SRR5575408	SRR5575409	SRR5575410	SRR5575413	SRR5575598	SRR5575599	SRR5575605	SRR5575606	SRR7716235	SRR7716244	SRR7716245	SRR7716246	SRR7716247
SRR5575407_k141_107250_3	52.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	2.0	0.0
SRR5575407_k141_107250_4	18.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107252_1	9.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0
SRR5575407_k141_107252_2	35.0	0.0	2.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	13.0	0.0	0.0	0.0
SRR5575407_k141_107252_3	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107252_4	13.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107253_2	91.0	8.0	136.0	40.0	0.0	1727.0	19.0	7.0	4.0	68.0	603.0	28.0	139.0	544.0
SRR5575407_k141_107254_2	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
SRR5575407_k141_107258_1	42.0	0.0	7.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	6.0	43.0	0.0
SRR5575407_k141_107259_2	599.0	0.0	5.0	28.0	2.0	53.0	71.0	6.0	0.0	108.0	81.0	0.0	411.0	20.0
SRR5575407_k141_107266_1	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SRR5575407_k141_10726_1	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	6.0	0.0
SRR5575407_k141_107271_1	43.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	11.0	4.0
SRR5575407_k141_107273_1	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107274_2	43.0	0.0	11.0	4.0	0.0	0.0	0.0	25.0	4.0	0.0	2.0	0.0	0.0	0.0
SRR5575407_k141_107277_1	18.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	3.0	0.0
SRR5575407_k141_107277_2	48.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	6.0	0.0
SRR5575407_k141_107279_1	33.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107279_2	26.0	0.0	8.0	0.0	0.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107279_3	11.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107287_1	192.0	3.0	9.0	6.0	0.0	11.0	0.0	50.0	4.0	5.0	6.0	0.0	9.0	219.0
SRR5575407_k141_107291_2	38.0	0.0	94.0	24.0	0.0	27.0	0.0	15.0	6.0	141.0	122.0	0.0	26.0	85.0
SRR5575407_k141_107291_3	52.0	0.0	182.0	45.0	0.0	43.0	0.0	18.0	14.0	249.0	189.0	0.0	60.0	112.0
